"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.726764583E0,-5.469055176E-1,1.257122040E1,-5.066883850E1,5.220791016E1
2.736809583E0,-5.279846191E-1,1.248559570E1,-5.058915710E1,5.210980411E1
2.746853583E0,-5.281677246E-1,1.251547813E1,-5.040310669E1,5.193639685E1
2.756897583E0,-5.599365234E-1,1.252713776E1,-5.026516724E1,5.180569222E1
2.766941583E0,-5.410156250E-1,1.254986477E1,-5.034883118E1,5.189216323E1
2.776986583E0,-5.153808594E-1,1.264860630E1,-5.053390503E1,5.209537807E1
2.787030583E0,-5.428466797E-1,1.240834999E1,-5.057682800E1,5.207952921E1
2.797074583E0,-5.428466797E-1,1.240834999E1,-5.057682800E1,5.207952921E1
2.807118583E0,-5.323791504E-1,1.244950199E1,-5.031439209E1,5.183446323E1
2.817163583E0,-5.925598145E-1,1.249369907E1,-5.050117493E1,5.202703444E1
2.827207583E0,-5.035400391E-1,1.252986431E1,-5.029055786E1,5.183040866E1
2.837251583E0,-4.552612305E-1,1.254502583E1,-5.035971069E1,5.190072636E1
2.847295583E0,-4.568481445E-1,1.247859478E1,-5.029402161E1,5.182096726E1
2.857340583E0,-3.837280273E-1,1.257379246E1,-5.027722168E1,5.182708292E1
2.867384583E0,-4.479980469E-1,1.273614693E1,-5.047984314E1,5.206366011E1
2.877428583E0,-4.958190918E-1,1.270464325E1,-5.050598145E1,5.208174304E1
2.887472583E0,-4.920349121E-1,1.264139175E1,-5.067451477E1,5.222981267E1
2.897517583E0,-5.003051758E-1,1.275243855E1,-5.074780273E1,5.232795120E1
2.907561583E0,-4.876098633E-1,1.264741898E1,-5.035612488E1,5.192238711E1
2.917605583E0,-5.361328125E-1,1.250059795E1,-5.051043701E1,5.203706981E1
2.927649583E0,-4.929504395E-1,1.249067497E1,-5.057666016E1,5.209854618E1
2.937694583E0,-4.412841797E-1,1.250411510E1,-5.023020935E1,5.176506117E1
2.947738583E0,-5.672912598E-1,1.251080036E1,-5.038833618E1,5.192134790E1
2.957782583E0,-5.409545898E-1,1.250083733E1,-5.064259338E1,5.216546588E1
2.967827583E0,-5.568542480E-1,1.245873737E1,-5.053749084E1,5.205351289E1
2.977871583E0,-5.592346191E-1,1.246023655E1,-5.041963196E1,5.193947944E1
2.987915583E0,-4.798889160E-1,1.234221363E1,-5.034465027E1,5.183767299E1
2.997959583E0,-5.599365234E-1,1.255818462E1,-5.045314026E1,5.199558531E1
3.008004583E0,-6.077575684E-1,1.267735386E1,-5.051856995E1,5.208848798E1
3.018048583E0,-5.212707520E-1,1.256982136E1,-5.039945984E1,5.194591114E1
3.028092583E0,-3.908081055E-1,1.257247734E1,-5.029278564E1,5.184191553E1
3.038136583E0,-5.225524902E-1,1.248719311E1,-5.057627869E1,5.209762968E1
3.048180583E0,-4.668884277E-1,1.257221127E1,-5.064425659E1,5.218351470E1
3.058225583E0,-6.300048828E-1,1.251885033E1,-5.062075806E1,5.214958932E1
3.068269583E0,-6.505126953E-1,1.255108261E1,-5.055720520E1,5.209591000E1
